surveyId,landsat_red_2008_1,landsat_red_2008_2,landsat_red_2008_3,landsat_red_2008_4,landsat_red_2009_1,landsat_red_2009_2,landsat_red_2009_3,landsat_red_2009_4,landsat_red_2010_1,landsat_red_2010_2,landsat_red_2010_3,landsat_red_2010_4,landsat_red_2011_1,landsat_red_2011_2,landsat_red_2011_3,landsat_red_2011_4,landsat_red_2012_1,landsat_red_2012_2,landsat_red_2012_3,landsat_red_2012_4,landsat_red_2013_1,landsat_red_2013_2,landsat_red_2013_3,landsat_red_2013_4,landsat_red_2014_1,landsat_red_2014_2,landsat_red_2014_3,landsat_red_2014_4,landsat_red_2015_1,landsat_red_2015_2,landsat_red_2015_3,landsat_red_2015_4,landsat_red_2016_1,landsat_red_2016_2,landsat_red_2016_3,landsat_red_2016_4,landsat_red_2017_1,landsat_red_2017_2,landsat_red_2017_3,landsat_red_2017_4,landsat_green_2008_1,landsat_green_2008_2,landsat_green_2008_3,landsat_green_2008_4,landsat_green_2009_1,landsat_green_2009_2,landsat_green_2009_3,landsat_green_2009_4,landsat_green_2010_1,landsat_green_2010_2,landsat_green_2010_3,landsat_green_2010_4,landsat_green_2011_1,landsat_green_2011_2,landsat_green_2011_3,landsat_green_2011_4,landsat_green_2012_1,landsat_green_2012_2,landsat_green_2012_3,landsat_green_2012_4,landsat_green_2013_1,landsat_green_2013_2,landsat_green_2013_3,landsat_green_2013_4,landsat_green_2014_1,landsat_green_2014_2,landsat_green_2014_3,landsat_green_2014_4,landsat_green_2015_1,landsat_green_2015_2,landsat_green_2015_3,landsat_green_2015_4,landsat_green_2016_1,landsat_green_2016_2,landsat_green_2016_3,landsat_green_2016_4,landsat_green_2017_1,landsat_green_2017_2,landsat_green_2017_3,landsat_green_2017_4,landsat_blue_2008_1,landsat_blue_2008_2,landsat_blue_2008_3,landsat_blue_2008_4,landsat_blue_2009_1,landsat_blue_2009_2,landsat_blue_2009_3,landsat_blue_2009_4,landsat_blue_2010_1,landsat_blue_2010_2,landsat_blue_2010_3,landsat_blue_2010_4,landsat_blue_2011_1,landsat_blue_2011_2,landsat_blue_2011_3,landsat_blue_2011_4,landsat_blue_2012_1,landsat_blue_2012_2,landsat_blue_2012_3,landsat_blue_2012_4,landsat_blue_2013_1,landsat_blue_2013_2,landsat_blue_2013_3,landsat_blue_2013_4,landsat_blue_2014_1,landsat_blue_2014_2,landsat_blue_2014_3,landsat_blue_2014_4,landsat_blue_2015_1,landsat_blue_2015_2,landsat_blue_2015_3,landsat_blue_2015_4,landsat_blue_2016_1,landsat_blue_2016_2,landsat_blue_2016_3,landsat_blue_2016_4,landsat_blue_2017_1,landsat_blue_2017_2,landsat_blue_2017_3,landsat_blue_2017_4,landsat_nir_2008_1,landsat_nir_2008_2,landsat_nir_2008_3,landsat_nir_2008_4,landsat_nir_2009_1,landsat_nir_2009_2,landsat_nir_2009_3,landsat_nir_2009_4,landsat_nir_2010_1,landsat_nir_2010_2,landsat_nir_2010_3,landsat_nir_2010_4,landsat_nir_2011_1,landsat_nir_2011_2,landsat_nir_2011_3,landsat_nir_2011_4,landsat_nir_2012_1,landsat_nir_2012_2,landsat_nir_2012_3,landsat_nir_2012_4,landsat_nir_2013_1,landsat_nir_2013_2,landsat_nir_2013_3,landsat_nir_2013_4,landsat_nir_2014_1,landsat_nir_2014_2,landsat_nir_2014_3,landsat_nir_2014_4,landsat_nir_2015_1,landsat_nir_2015_2,landsat_nir_2015_3,landsat_nir_2015_4,landsat_nir_2016_1,landsat_nir_2016_2,landsat_nir_2016_3,landsat_nir_2016_4,landsat_nir_2017_1,landsat_nir_2017_2,landsat_nir_2017_3,landsat_nir_2017_4
212,7.0,7.0,10.0,8.0,6.0,10.0,11.0,8.0,9.0,11.0,10.0,8.0,7.0,11.0,11.0,8.0,8.0,8.0,12.0,8.0,10.0,10.0,12.0,8.0,8.0,10.0,11.0,11.0,7.0,9.0,11.0,7.0,7.0,11.0,11.0,8.0,7.0,9.0,11.0,8.0,10.0,10.0,11.0,10.0,10.0,11.0,13.0,10.0,12.0,12.0,11.0,11.0,11.0,12.0,13.0,11.0,10.0,10.0,14.0,11.0,12.0,11.0,12.0,11.0,10.0,11.0,13.0,12.0,9.0,11.0,12.0,9.0,9.0,12.0,13.0,12.0,10.0,11.0,12.0,11.0,7.0,5.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,4.0,8.0,6.0,9.0,6.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,5.0,7.0,6.0,7.0,6.0,6.0,5.0,6.0,5.0,30.0,34.0,31.0,31.0,28.0,32.0,36.0,31.0,32.0,32.0,35.0,31.0,33.0,35.0,34.0,34.0,28.0,34.0,36.0,30.0,29.0,35.0,33.0,28.0,28.0,34.0,35.0,32.0,21.0,36.0,35.0,28.0,28.0,32.0,35.0,30.0,21.0,34.0,35.0,35.0
222,18.0,15.0,23.0,17.0,18.0,11.0,19.0,14.0,18.0,19.0,19.0,15.0,18.0,13.0,15.0,14.0,18.0,13.0,14.0,12.0,18.0,18.0,12.0,14.0,18.0,12.0,13.0,15.0,14.0,13.0,11.0,13.0,14.0,11.0,14.0,14.0,11.0,14.0,13.0,13.0,17.0,17.0,22.0,21.0,17.0,15.0,20.0,18.0,17.0,20.0,21.0,18.0,17.0,17.0,17.0,17.0,17.0,15.0,19.0,15.0,17.0,20.0,18.0,19.0,17.0,18.0,17.0,17.0,16.0,17.0,17.0,16.0,16.0,15.0,19.0,18.0,14.0,17.0,17.0,16.0,8.0,8.0,11.0,7.0,8.0,7.0,8.0,6.0,8.0,8.0,9.0,8.0,8.0,7.0,7.0,7.0,8.0,5.0,8.0,4.0,8.0,8.0,6.0,7.0,8.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,5.0,7.0,9.0,5.0,6.0,6.0,7.0,84.0,90.0,88.0,99.0,84.0,96.0,96.0,106.0,84.0,90.0,83.0,100.0,84.0,94.0,69.0,98.0,84.0,85.0,94.0,99.0,84.0,102.0,87.0,115.0,84.0,108.0,102.0,97.0,88.0,104.0,99.0,86.0,88.0,94.0,99.0,104.0,91.0,91.0,90.0,87.0
333,24.0,44.0,26.0,19.0,31.0,17.0,27.0,31.0,20.0,46.0,34.0,17.0,20.0,50.0,25.0,21.0,23.0,31.0,20.0,23.0,20.0,39.0,26.0,19.0,19.0,53.0,17.0,16.0,19.0,34.0,41.0,30.0,35.0,32.0,21.0,31.0,21.0,36.0,11.0,25.0,21.0,34.0,24.0,18.0,26.0,19.0,23.0,27.0,19.0,38.0,31.0,16.0,19.0,39.0,26.0,19.0,19.0,26.0,23.0,24.0,19.0,34.0,25.0,20.0,18.0,39.0,19.0,17.0,17.0,32.0,35.0,27.0,29.0,31.0,22.0,26.0,22.0,32.0,18.0,22.0,11.0,19.0,12.0,8.0,12.0,9.0,11.0,13.0,9.0,21.0,15.0,7.0,9.0,21.0,12.0,8.0,9.0,13.0,10.0,11.0,9.0,19.0,12.0,9.0,9.0,22.0,8.0,7.0,7.0,16.0,18.0,14.0,14.0,15.0,10.0,14.0,10.0,16.0,6.0,12.0,72.0,63.0,84.0,78.0,68.0,76.0,75.0,77.0,69.0,81.0,97.0,81.0,61.0,73.0,100.0,80.0,58.0,63.0,98.0,93.0,68.0,86.0,77.0,81.0,81.0,70.0,85.0,80.0,73.0,87.0,86.0,73.0,67.0,90.0,83.0,78.0,68.0,88.0,117.0,73.0
391,9.0,11.0,13.0,12.0,9.0,12.0,15.0,14.0,9.0,12.0,14.0,10.0,9.0,13.0,12.0,9.0,12.0,12.0,12.0,12.0,11.0,11.0,9.0,12.0,12.0,11.0,8.0,11.0,12.0,12.0,11.0,11.0,10.0,12.0,13.0,10.0,29.0,11.0,14.0,13.0,13.0,16.0,15.0,15.0,13.0,16.0,18.0,16.0,13.0,16.0,16.0,14.0,13.0,16.0,16.0,14.0,14.0,16.0,16.0,15.0,14.0,15.0,13.0,15.0,14.0,14.0,12.0,14.0,16.0,16.0,15.0,14.0,14.0,17.0,16.0,14.0,30.0,14.0,15.0,16.0,4.0,5.0,5.0,6.0,4.0,6.0,9.0,7.0,4.0,6.0,6.0,5.0,4.0,5.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,4.0,5.0,6.0,6.0,5.0,5.0,5.0,8.0,6.0,5.0,21.0,5.0,6.0,7.0,70.0,89.0,85.0,76.0,70.0,87.0,87.0,80.0,70.0,87.0,83.0,73.0,70.0,79.0,94.0,65.0,70.0,84.0,86.0,67.0,70.0,80.0,85.0,84.0,69.0,81.0,75.0,75.0,79.0,112.0,96.0,55.0,58.0,82.0,90.0,82.0,91.0,83.0,86.0,75.0
590,28.0,14.0,16.0,14.0,28.0,14.0,40.0,16.0,28.0,23.0,27.0,16.0,10.0,14.0,18.0,20.0,10.0,13.0,18.0,10.0,9.0,15.0,17.0,11.0,10.0,12.0,15.0,10.0,9.0,9.0,14.0,10.0,9.0,10.0,15.0,12.0,10.0,7.0,14.0,10.0,19.0,17.0,20.0,17.0,19.0,17.0,38.0,16.0,19.0,24.0,27.0,15.0,13.0,17.0,20.0,20.0,12.0,16.0,20.0,14.0,13.0,18.0,19.0,14.0,13.0,13.0,16.0,13.0,12.0,11.0,15.0,13.0,13.0,11.0,16.0,13.0,12.0,10.0,15.0,14.0,11.0,8.0,9.0,7.0,11.0,8.0,23.0,7.0,11.0,14.0,13.0,8.0,6.0,8.0,9.0,10.0,6.0,6.0,10.0,7.0,6.0,9.0,10.0,8.0,6.0,6.0,9.0,6.0,5.0,5.0,8.0,6.0,6.0,4.0,9.0,6.0,6.0,3.0,8.0,8.0,65.0,76.0,18.0,68.0,65.0,41.0,54.0,59.0,65.0,39.0,43.0,47.0,28.0,41.0,29.0,47.0,28.0,30.0,29.0,30.0,27.0,30.0,29.0,30.0,28.0,27.0,27.0,27.0,27.0,26.0,27.0,29.0,27.0,26.0,29.0,40.0,38.0,28.0,31.0,35.0
607,16.0,20.0,19.0,20.0,15.0,21.0,18.0,20.0,15.0,15.0,17.0,16.0,12.0,19.0,18.0,16.0,15.0,22.0,17.0,14.0,14.0,21.0,18.0,21.0,14.0,23.0,17.0,20.0,17.0,24.0,18.0,18.0,17.0,19.0,18.0,17.0,18.0,21.0,20.0,19.0,16.0,16.0,17.0,20.0,15.0,19.0,17.0,18.0,16.0,15.0,17.0,14.0,16.0,17.0,17.0,16.0,16.0,19.0,16.0,13.0,17.0,19.0,17.0,20.0,17.0,20.0,18.0,19.0,18.0,21.0,18.0,17.0,18.0,19.0,17.0,17.0,18.0,18.0,18.0,16.0,9.0,9.0,9.0,11.0,7.0,11.0,9.0,11.0,7.0,7.0,9.0,6.0,6.0,8.0,9.0,8.0,7.0,11.0,9.0,6.0,8.0,12.0,9.0,12.0,8.0,12.0,9.0,10.0,11.0,13.0,10.0,9.0,11.0,11.0,9.0,12.0,10.0,11.0,11.0,11.0,55.0,43.0,54.0,60.0,58.0,41.0,51.0,56.0,58.0,51.0,53.0,56.0,61.0,41.0,43.0,56.0,61.0,41.0,53.0,39.0,63.0,50.0,53.0,56.0,63.0,52.0,57.0,57.0,65.0,51.0,60.0,64.0,65.0,54.0,52.0,55.0,62.0,53.0,50.0,55.0
662,13.0,13.0,9.0,11.0,13.0,12.0,14.0,11.0,13.0,11.0,16.0,10.0,12.0,13.0,7.0,12.0,12.0,12.0,12.0,13.0,13.0,17.0,15.0,12.0,12.0,11.0,11.0,11.0,13.0,12.0,10.0,14.0,16.0,18.0,15.0,13.0,16.0,18.0,15.0,13.0,15.0,16.0,15.0,13.0,15.0,15.0,19.0,13.0,15.0,13.0,18.0,15.0,14.0,15.0,13.0,12.0,14.0,14.0,17.0,14.0,14.0,16.0,18.0,14.0,14.0,13.0,16.0,14.0,13.0,14.0,13.0,13.0,16.0,15.0,16.0,13.0,15.0,16.0,15.0,12.0,5.0,6.0,5.0,5.0,5.0,6.0,9.0,5.0,5.0,5.0,7.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,6.0,6.0,5.0,7.0,8.0,6.0,5.0,5.0,5.0,6.0,4.0,5.0,4.0,7.0,8.0,7.0,7.0,5.0,6.0,7.0,7.0,5.0,78.0,84.0,92.0,75.0,78.0,80.0,83.0,79.0,78.0,76.0,76.0,81.0,76.0,76.0,92.0,84.0,75.0,76.0,80.0,62.0,75.0,73.0,78.0,72.0,75.0,80.0,89.0,101.0,75.0,78.0,76.0,50.0,70.0,58.0,76.0,55.0,59.0,58.0,61.0,53.0
664,18.0,13.0,10.0,12.0,21.0,8.0,8.0,13.0,20.0,13.0,7.0,12.0,16.0,11.0,9.0,10.0,20.0,14.0,9.0,12.0,17.0,16.0,9.0,14.0,18.0,18.0,7.0,13.0,22.0,21.0,8.0,12.0,16.0,20.0,10.0,10.0,17.0,8.0,11.0,13.0,16.0,13.0,10.0,12.0,16.0,10.0,10.0,15.0,16.0,14.0,10.0,12.0,15.0,13.0,10.0,11.0,16.0,14.0,11.0,12.0,15.0,14.0,11.0,14.0,15.0,15.0,10.0,12.0,18.0,18.0,11.0,12.0,15.0,17.0,12.0,11.0,14.0,12.0,13.0,13.0,8.0,7.0,5.0,6.0,7.0,4.0,4.0,9.0,8.0,7.0,4.0,6.0,9.0,6.0,4.0,4.0,8.0,7.0,4.0,6.0,8.0,7.0,6.0,8.0,7.0,9.0,3.0,5.0,10.0,10.0,4.0,6.0,8.0,10.0,6.0,5.0,7.0,5.0,6.0,6.0,55.0,48.0,57.0,53.0,55.0,58.0,63.0,63.0,55.0,57.0,68.0,56.0,55.0,52.0,54.0,48.0,56.0,54.0,61.0,56.0,56.0,54.0,65.0,59.0,57.0,54.0,68.0,55.0,64.0,55.0,67.0,51.0,50.0,51.0,85.0,60.0,56.0,80.0,74.0,64.0
729,6.0,8.0,6.0,8.0,6.0,10.0,8.0,9.0,6.0,7.0,11.0,9.0,6.0,7.0,11.0,7.0,6.0,9.0,11.0,6.0,5.0,12.0,11.0,12.0,10.0,14.0,13.0,13.0,8.0,16.0,13.0,10.0,10.0,12.0,12.0,10.0,10.0,11.0,14.0,11.0,8.0,10.0,9.0,11.0,8.0,11.0,10.0,10.0,10.0,10.0,11.0,11.0,12.0,10.0,12.0,11.0,12.0,10.0,12.0,9.0,12.0,11.0,11.0,12.0,12.0,13.0,12.0,13.0,12.0,15.0,14.0,12.0,12.0,13.0,12.0,12.0,12.0,12.0,15.0,12.0,4.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,6.0,4.0,3.0,5.0,4.0,3.0,5.0,5.0,6.0,6.0,6.0,5.0,7.0,4.0,7.0,7.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,9.0,5.0,53.0,47.0,52.0,52.0,53.0,40.0,43.0,48.0,58.0,52.0,41.0,52.0,53.0,52.0,44.0,55.0,53.0,44.0,44.0,32.0,64.0,52.0,45.0,48.0,53.0,44.0,53.0,53.0,62.0,58.0,60.0,48.0,61.0,61.0,60.0,46.0,57.0,58.0,74.0,53.0
744,14.0,18.0,9.0,14.0,14.0,14.0,11.0,13.0,19.0,15.0,15.0,14.0,16.0,16.0,12.0,14.0,16.0,15.0,12.0,14.0,16.0,17.0,12.0,15.0,16.0,19.0,13.0,14.0,16.0,18.0,11.0,11.0,16.0,19.0,12.0,12.0,16.0,19.0,13.0,15.0,14.0,16.0,11.0,12.0,14.0,14.0,12.0,13.0,16.0,15.0,16.0,13.0,15.0,16.0,12.0,12.0,15.0,15.0,12.0,12.0,15.0,15.0,13.0,13.0,15.0,16.0,13.0,14.0,15.0,16.0,12.0,11.0,14.0,16.0,13.0,11.0,15.0,16.0,13.0,14.0,6.0,7.0,4.0,6.0,6.0,5.0,6.0,5.0,8.0,7.0,8.0,6.0,8.0,6.0,6.0,6.0,8.0,7.0,7.0,4.0,8.0,7.0,6.0,6.0,8.0,8.0,7.0,5.0,8.0,8.0,5.0,5.0,8.0,8.0,6.0,5.0,7.0,8.0,7.0,7.0,58.0,49.0,64.0,54.0,58.0,42.0,57.0,56.0,61.0,47.0,65.0,52.0,58.0,45.0,59.0,53.0,58.0,53.0,56.0,49.0,58.0,60.0,55.0,52.0,58.0,47.0,61.0,51.0,58.0,54.0,60.0,55.0,57.0,45.0,60.0,51.0,56.0,51.0,57.0,57.0
